,BC,O3,PM2.5,MERRA2-BC
2021-01-15 21,2.6,19.48,,4.180619764328006
2021-01-15 22,2.48,21.68,,4.402972974777225
2021-01-15 23,2.47,19.88,,4.6164495468139695
2021-01-16 00,1.96,27.81,,4.742178068161016
2021-01-16 01,2.26,31.27,,3.5034464263916028
2021-01-16 02,1.92,30.13,,2.3859683322906493
2021-01-16 03,2.39,25.78,,1.6473495674133305
2021-01-16 04,2.91,14.89,,1.5085060739517215
2021-01-16 05,4.08,5.46,,1.4387115287780765
2021-01-16 06,3.75,2.68,,1.3472163009643563
2021-01-16 07,3.81,0.18,,1.3071621799469004
2021-01-16 08,3.83,1.36,,1.3188401126861582
2021-01-16 09,4.49,6.62,,1.418102335929872
2021-01-16 10,5.14,12.97,,1.642820343971254
2021-01-16 11,4.97,21.73,,1.871594829559328
2021-01-16 12,5.16,26.69,,2.077776980400088
2021-01-16 13,5.48,27.99,,2.273427538871768
2021-01-16 14,5.24,31.57,,2.468877964019778
2021-01-16 15,5.81,34.14,,2.674933023452762
2021-01-16 16,6.29,25.16,,2.873894090652469
2021-01-16 17,7.96,10.58,,3.0890441131591837
2021-01-16 18,8.32,4.81,,3.402856254577641
2021-01-16 19,8.47,4.02,,3.827044429779057
2021-01-16 20,7.72,0.28,,4.366738853454593
2021-01-16 21,6.96,0.19,,5.28023504257202
2021-01-16 22,5.1,0.77,,7.028575057983394
2021-01-16 23,4.03,4.32,,8.727365722656247
2021-01-17 00,3.11,7.56,,9.266514129638674
2021-01-17 01,2.92,7.47,,9.07297330856324
2021-01-17 02,2.66,5.66,,8.009446926116954
2021-01-17 03,2.82,6.18,,5.24210913658143
2021-01-17 04,2.62,6.99,,4.459325237274175
2021-01-17 05,3.01,4.99,,4.010471420288089
2021-01-17 06,2.78,5.71,,3.664827175140383
2021-01-17 07,2.7,12.83,,3.514542255401613
2021-01-17 08,3.24,14.53,,3.440363845825196
2021-01-17 09,2.04,24.75,,3.4718686485290537
2021-01-17 10,1.46,26.72,,3.5266202926635755
2021-01-17 11,1.1,26.55,,3.5671473503112807
2021-01-17 12,1.64,29.55,,3.5949414825439474
2021-01-17 13,1.22,30.89,,3.626664714813235
2021-01-17 14,1.38,30.06,,3.6413985061645535
2021-01-17 15,1.71,29.09,,3.637614984512332
2021-01-17 16,1.75,27.33,,3.618188142776493
2021-01-17 17,1.67,24.04,,3.546156177520756
2021-01-17 18,2.39,20.65,,3.446148242950444
2021-01-17 19,2.17,14.93,,3.220666275024417
2021-01-17 20,2.41,13.56,,3.2916795730590853
2021-01-17 21,2.25,16.98,,3.4019831943512
2021-01-17 22,2.02,15.15,,3.517416162490848
2021-01-17 23,1.74,24.1,,3.646819028854373
2021-01-18 00,1.51,23.74,,3.7362042808532743
2021-01-18 01,1.6,25.28,,3.14586943626404
2021-01-18 02,1.33,27.72,,2.8624345874786394
2021-01-18 03,1.73,25.94,,2.0774315071105964
2021-01-18 04,1.44,24.76,,1.9454273986816413
2021-01-18 05,1.42,22.53,,1.8457103824615488
2021-01-18 06,1.54,15.37,,1.6255034923553469
2021-01-18 07,1.57,13.79,,1.5921432113647465
2021-01-18 08,1.74,17.49,,1.5971090984344487
2021-01-18 09,1.13,26.12,,1.6820376634597785
2021-01-18 10,1.03,33.44,,1.9244544363021856
2021-01-18 11,1.11,42.43,,2.1969389915466317
2021-01-18 12,1.44,48.97,,2.462438735961914
2021-01-18 13,1.29,50.35,,2.7293209266662606
2021-01-18 14,1.4,56.9,,2.9940929508209244
2021-01-18 15,1.37,55.53,,3.256682186126712
2021-01-18 16,1.69,54.59,,3.514287557601933
2021-01-18 17,2.15,45.77,,3.7578501796722463
2021-01-18 18,2.89,22.42,,3.996428947448736
2021-01-18 19,3.72,8.33,,4.25861811637879
2021-01-18 20,5.88,2.56,,4.576759290695198
2021-01-18 21,5.29,15.59,,4.954054002761848
2021-01-18 22,3.67,19.18,,5.365000019073494
2021-01-18 23,2.99,16.5,,5.73905714035035
2021-01-19 00,2.44,28.81,,5.96905002593995
2021-01-19 01,2.32,30.97,,4.245666723251349
2021-01-19 02,1.83,25.98,,2.701017313003542
2021-01-19 03,1.58,27.96,,2.4525798511505137
2021-01-19 04,1.41,28.11,,2.324850425720216
2021-01-19 05,1.91,20.27,,2.20323263168335
2021-01-19 06,2.84,9.76,,2.02031509399414
2021-01-19 07,5.95,1.1,,1.957123489379882
2021-01-19 08,6.49,4.53,,1.934822626113891
2021-01-19 09,4.34,21.86,,2.0296283149719234
2021-01-19 10,2.73,44.32,,2.2912354564666746
2021-01-19 11,2.21,59.8,,2.5486587524414066
2021-01-19 12,2.12,62.69,,2.787783174514772
2021-01-19 13,2.04,57.5,,2.981578178405764
2021-01-19 14,2.05,57.14,,3.130881023406985
2021-01-19 15,1.98,59.9,,3.2742173480987584
2021-01-19 16,2.83,52.42,,3.4405093955993693
2021-01-19 17,2.86,43.51,,3.6419805526733446
2021-01-19 18,4.06,35.71,,3.880886621475226
2021-01-19 19,2.61,32.96,,4.146823043823249
2021-01-19 20,2.59,39.92,,4.427456483840951
2021-01-19 21,2.85,34.77,,4.7101640605926605
2021-01-19 22,2.74,36.86,,4.991016035079967
2021-01-19 23,2.68,38.51,,5.261317634582531
2021-01-20 00,2.81,41.21,,5.347283258438123
2021-01-20 01,2.8,38.11,,3.628483715057381
2021-01-20 02,2.55,40.23,,2.469241652488712
2021-01-20 03,2.5,40.4,,2.5015832805633544
2021-01-20 04,2.69,42.33,,2.135821075439453
2021-01-20 05,2.97,36.0,,1.870866999626159
2021-01-20 06,4.11,21.82,,1.779790167808533
2021-01-20 07,7.43,3.49,,1.6760716676712035
2021-01-20 08,8.4,2.74,,1.6436576223373416
2021-01-20 09,7.88,4.71,,1.756852746009827
2021-01-20 10,6.97,15.91,,1.99737771511078
2021-01-20 11,7.08,32.52,,2.227607259750368
2021-01-20 12,5.79,47.24,,2.4278415584564232
2021-01-20 13,2.89,51.74,,2.606138839721683
2021-01-20 14,2.12,51.23,,2.7690474796295206
2021-01-20 15,2.65,49.7,,2.9186412239074757
2021-01-20 16,3.06,35.95,,3.0590672206878717
2021-01-20 17,3.09,31.49,,3.1985836601257382
2021-01-20 18,4.83,18.64,,3.346394739151007
2021-01-20 19,6.56,29.33,,3.512650394439704
2021-01-20 20,5.26,22.91,,3.690110969543465
2021-01-20 21,4.95,23.71,,3.876229934692392
2021-01-20 22,4.16,20.66,,4.05605538368226
2021-01-20 23,4.32,19.64,,4.199900894165049
2021-01-21 00,4.28,19.66,,4.129942531585703
2021-01-21 01,4.33,16.5,,2.5463850784301805
2021-01-21 02,4.36,14.49,,1.835724148750308
2021-01-21 03,4.34,15.76,,1.6720332193374647
2021-01-21 04,4.57,12.66,,1.5239857053756725
2021-01-21 05,4.84,10.83,,1.4190482187271127
2021-01-21 06,4.85,6.96,,1.4430224323272716
2021-01-21 07,4.56,6.13,,1.3814860582351691
2021-01-21 08,4.81,7.3,,1.363969187736512
2021-01-21 09,5.35,8.88,,1.4264878702163706
2021-01-21 10,6.12,6.18,,1.6496778249740611
2021-01-21 11,4.8,10.19,,1.9042817831039445
2021-01-21 12,4.73,17.71,,2.153719873428347
2021-01-21 13,4.83,21.73,,2.38418588638306
2021-01-21 14,5.22,24.3,,2.582091908454899
2021-01-21 15,4.98,25.72,,2.718807020187382
2021-01-21 16,5.29,18.44,,2.8269642162323034
2021-01-21 17,6.59,7.79,,2.911838178634647
2021-01-21 18,6.92,5.02,,3.02108677864075
2021-01-21 19,7.2,3.55,,3.1571837615966825
2021-01-21 20,6.98,2.27,,3.313180398941042
2021-01-21 21,7.09,5.87,,3.485220031738283
2021-01-21 22,7.99,4.54,,3.684908723831178
2021-01-21 23,4.95,6.62,,3.9075893592834494
2021-01-22 00,4.3,13.01,,3.8827784156799336
2021-01-22 01,4.38,8.76,,2.370543575286865
2021-01-22 02,4.21,7.75,,1.6413291263580327
2021-01-22 03,3.84,9.89,,2.302149667739867
2021-01-22 04,3.99,9.76,,2.13836833000183
2021-01-22 05,3.41,12.65,,2.0388692283630365
2021-01-22 06,3.6,11.57,,1.8091676139831527
2021-01-22 07,3.69,11.3,,1.7767531585693348
2021-01-22 08,4.21,10.42,,1.7933426237106311
2021-01-22 09,4.44,17.41,,1.9177605628967276
2021-01-22 10,4.09,20.62,,2.1881350708007803
2021-01-22 11,3.34,26.01,,2.5254121780395504
2021-01-22 12,3.24,33.93,,2.8728391551971435
2021-01-22 13,10.79,36.61,,3.232744388580323
2021-01-22 14,2.29,38.0,,3.59723342895508
2021-01-22 15,2.53,39.21,,3.9562657833099375
2021-01-22 16,3.61,32.77,,4.299072828292849
2021-01-22 17,5.19,24.33,,4.630274333953861
2021-01-22 18,6.49,6.27,,4.939067707061772
2021-01-22 19,8.38,5.48,,5.261540431976323
2021-01-22 20,10.21,9.76,,5.629413356781011
2021-01-22 21,7.64,8.65,,6.027694702148445
2021-01-22 22,6.23,5.69,,6.4149966621399
2021-01-22 23,8.03,0.94,,6.75973377227784
2021-01-23 00,7.49,3.72,129.74,6.8614477539062575
2021-01-23 01,5.4,1.95,110.56,4.994147510528566
2021-01-23 02,4.86,5.98,87.98,3.5304800033569337
2021-01-23 03,6.24,4.11,98.88,3.2801108455657944
2021-01-23 04,5.64,4.33,125.66,3.0423689746856675
2021-01-23 05,4.71,2.87,117.71,2.851957397460936
2021-01-23 06,5.91,1.28,123.3,2.7390342903137177
2021-01-23 07,4.86,3.22,105.2,2.6975248908996554
2021-01-23 08,6.32,5.05,89.03,2.7393980216979954
2021-01-23 09,7.67,3.35,106.16,2.949272994995115
2021-01-23 10,5.06,15.6,101.43,3.36938675880432
2021-01-23 11,5.05,29.43,88.74,3.864697589874266
2021-01-23 12,4.72,45.15,80.96,4.387547912597656
2021-01-23 13,4.59,52.29,80.41,4.875037059783937
2021-01-23 14,4.37,58.77,87.2,5.265537834167483
2021-01-23 15,4.7,57.28,91.32,5.581823616027836
2021-01-23 16,4.31,49.25,96.67,5.830952663421636
2021-01-23 17,5.37,46.71,101.46,6.04035470962525
2021-01-23 18,4.77,37.83,123.51,6.228801708221441
2021-01-23 19,5.26,36.36,161.04,6.40386171340943
2021-01-23 20,5.3,31.74,125.79,6.513947448730477
2021-01-23 21,4.53,30.03,127.37,6.59594684600831
2021-01-23 22,3.36,31.58,88.54,6.637856559753429
2021-01-23 23,3.08,31.22,,6.632036170959485
2021-01-24 00,4.63,19.04,83.55,6.477130622863782
2021-01-24 01,2.75,8.36,77.51,5.455441207885751
2021-01-24 02,3.39,0.21,66.39,4.473550672531134
2021-01-24 03,3.35,0.38,86.66,4.415633192062381
2021-01-24 04,3.54,0.04,103.89,3.7193974971771255
2021-01-24 05,4.21,0.35,112.29,3.269416017532349
2021-01-24 06,3.81,1.09,115.47,2.978340501785276
2021-01-24 07,3.71,0.87,117.11,2.862470865249631
2021-01-24 08,3.91,2.65,133.92,2.8358772659301725
2021-01-24 09,3.74,15.96,168.14,3.0479714775085416
2021-01-24 10,3.06,32.8,129.17,3.472232742309567
2021-01-24 11,3.03,31.45,107.8,3.890309886932371
2021-01-24 12,2.55,37.45,96.13,4.055691471099852
2021-01-24 13,1.92,55.23,76.8,3.6319761943817137
2021-01-24 14,2.06,55.96,71.86,3.070163307189942
2021-01-24 15,2.44,55.44,72.98,2.717024364471437
2021-01-24 16,2.2,48.22,72.68,2.517008390426638
2021-01-24 17,2.46,33.89,57.45,2.397428040504458
2021-01-24 18,1.46,32.21,44.28,2.345896229743961
2021-01-24 19,1.5,27.94,41.91,2.3602483940124555
2021-01-24 20,1.92,25.95,53.8,2.429079136848455
2021-01-24 21,1.48,29.2,57.65,2.528651056289679
2021-01-24 22,2.41,26.83,65.06,2.5969181776046826
2021-01-24 23,2.21,25.55,,2.627513785362252
2021-01-25 00,1.87,28.19,83.22,2.532617549896248
2021-01-25 01,1.81,30.25,81.58,1.6747636961936998
2021-01-25 02,1.31,28.56,85.39,1.1168707752227802
2021-01-25 03,1.62,26.89,77.98,0.9971700525283824
2021-01-25 04,1.42,24.18,79.08,1.021290884017945
2021-01-25 05,1.69,20.36,85.49,1.0049419951438914
2021-01-25 06,1.49,13.94,82.84,1.1337040424346927
2021-01-25 07,1.4,5.53,74.38,1.0908342409133915
2021-01-25 08,1.73,12.65,68.18,1.1237063407897954
2021-01-25 09,1.45,14.21,68.86,1.2388955068588263
2021-01-25 10,1.97,14.83,78.02,1.4148463344573985
2021-01-25 11,2.07,20.04,68.43,1.5275327682495128
2021-01-25 12,2.16,21.71,71.11,1.5863042640686045
2021-01-25 13,2.07,22.83,72.46,1.6475860595703136
2021-01-25 14,2.67,19.03,59.18,1.7435378217697155
2021-01-25 15,2.83,11.39,61.41,1.8685750675201431
2021-01-25 16,2.34,11.58,56.96,2.0011430358886737
2021-01-25 17,1.81,17.49,49.75,2.121996817588809
2021-01-25 18,2.25,13.28,48.07,2.238793969154361
2021-01-25 19,2.21,12.85,47.28,2.3616121530532874
2021-01-25 20,1.92,14.58,45.46,2.49594453811646
2021-01-25 21,1.67,15.31,41.85,2.6532507658004807
2021-01-25 22,1.54,12.71,39.61,2.854431171417241
2021-01-25 23,1.27,14.03,,3.084897060394291
2021-01-26 00,1.04,16.61,31.85,
2021-01-26 01,0.95,17.15,36.17,
2021-01-26 02,0.99,20.02,35.62,
2021-01-26 03,0.93,23.78,37.27,
2021-01-26 04,0.95,22.01,33.76,
2021-01-26 05,1.28,18.04,36.01,
2021-01-26 06,1.59,13.05,40.91,
2021-01-26 07,1.85,8.25,49.03,
2021-01-26 08,1.84,16.42,48.01,
2021-01-26 09,1.94,22.07,46.89,
2021-01-26 10,2.03,23.18,52.21,
2021-01-26 11,2.57,24.78,47.29,
2021-01-26 12,1.89,28.7,40.68,
2021-01-26 13,1.64,28.75,52.92,
2021-01-26 14,1.97,36.26,51.29,
2021-01-26 15,1.89,32.37,49.69,
2021-01-26 16,2.25,27.13,38.74,
2021-01-26 17,2.34,18.25,40.15,
2021-01-26 18,1.88,15.44,42.57,
2021-01-26 19,2.72,15.74,38.02,
2021-01-26 20,2.11,16.72,42.19,
2021-01-26 21,2.19,14.57,46.42,
2021-01-26 22,1.94,15.27,44.6,
2021-01-26 23,1.3,18.45,,
2021-01-27 00,1.66,20.46,47.83,4.259127187728887
2021-01-27 01,0.91,25.59,38.08,2.8747671699523942
2021-01-27 02,1.0,23.63,37.58,1.995558757781984
2021-01-27 03,1.14,20.56,40.72,1.9951767301559455
2021-01-27 04,1.22,21.45,43.95,1.8158607244491587
2021-01-27 05,1.18,19.39,42.25,1.697662844657899
2021-01-27 06,1.31,11.51,42.01,1.312892031669617
2021-01-27 07,1.63,5.45,40.94,1.2973032760620122
2021-01-27 08,1.44,17.27,30.42,1.2962663984298712
2021-01-27 09,1.59,19.84,25.13,1.383905301094056
2021-01-27 10,1.8,28.02,27.53,1.574171638488771
2021-01-27 11,1.47,35.79,28.63,1.7352249574661276
2021-01-27 12,1.35,37.67,27.13,1.8453101205825837
2021-01-27 13,1.18,39.49,28.41,1.857442822456363
2021-01-27 14,1.29,41.37,29.02,1.8201535987854036
2021-01-27 15,1.75,38.22,29.72,1.8353603172302275
2021-01-27 16,2.33,25.19,35.69,1.8744867801666285
2021-01-27 17,2.96,25.5,35.91,1.9558865356445332
2021-01-27 18,5.89,27.46,38.18,2.0718471193313617
2021-01-27 19,1.37,26.89,32.56,2.2011227321624767
2021-01-27 20,1.42,27.53,25.86,2.35722846031189
2021-01-27 21,1.16,24.22,25.25,2.5775443077087403
2021-01-27 22,0.92,24.57,22.92,2.8688372421264643
2021-01-27 23,0.73,28.22,,3.2791649627685526
2021-01-28 00,0.71,28.83,23.56,3.751701974868774
2021-01-28 01,0.77,31.61,26.81,3.561690454483033
2021-01-28 02,0.95,30.74,35.9,2.954984636306764
2021-01-28 03,1.5,21.72,43.77,2.418382892608644
2021-01-28 04,2.43,11.33,52.35,2.185406618118287
2021-01-28 05,1.92,7.23,55.19,2.051892795562745
2021-01-28 06,2.24,3.79,66.32,1.821572389602662
2021-01-28 07,2.52,0.48,72.76,1.7776255941391
2021-01-28 08,2.69,7.49,71.93,1.7577440118789682
2021-01-28 09,1.21,18.86,53.12,1.8431455612182623
2021-01-28 10,1.16,14.42,22.4,2.058659396171571
2021-01-28 11,0.55,16.22,13.23,2.2735912322998058
2021-01-28 12,0.46,19.54,8.87,2.4650580787658707
2021-01-28 13,0.5,21.56,8.77,2.634697046279909
2021-01-28 14,0.61,23.26,11.91,2.780070571899416
2021-01-28 15,0.88,22.38,15.64,2.8994690322876
2021-01-28 16,1.24,18.15,21.21,3.006280174255373
2021-01-28 17,1.6,17.35,25.66,3.1263334178924578
2021-01-28 18,1.53,12.45,34.84,3.25162551879883
2021-01-28 19,1.29,16.07,37.49,3.350251111984256
2021-01-28 20,1.66,11.47,37.25,3.4128970909118688
2021-01-28 21,1.37,7.48,42.47,3.4577533912658733
2021-01-28 22,1.19,13.68,38.76,3.519489774703984
2021-01-28 23,1.17,12.78,39.82,3.6203709030151416
2021-01-29 00,1.2,12.76,38.0,3.6054553508758582
2021-01-29 01,1.32,11.27,43.24,3.0287628269195577
2021-01-29 02,1.24,10.01,51.65,2.4865948772430424
2021-01-29 03,1.43,8.71,53.57,2.329034070968628
2021-01-29 04,1.57,5.67,50.21,2.274937191009521
2021-01-29 05,1.86,4.72,52.17,2.308406610488891
2021-01-29 06,2.17,2.89,55.32,2.0361403179168684
2021-01-29 07,2.21,9.88,39.0,2.1226514434814434
2021-01-29 08,1.77,15.45,43.88,2.218439655303953
2021-01-29 09,1.93,20.45,41.15,2.37731002807617
2021-01-29 10,2.23,28.57,43.85,2.6759881591796857
2021-01-29 11,1.94,34.85,39.78,3.0257434463500963
2021-01-29 12,1.68,48.6,42.81,3.3537434577941894
2021-01-29 13,2.03,66.52,49.52,3.630229969024659
2021-01-29 14,1.87,66.33,52.09,3.831300945281985
2021-01-29 15,2.2,63.36,53.66,3.9605948448181194
2021-01-29 16,2.33,40.3,60.96,3.981040287017826
2021-01-29 17,3.07,35.42,64.13,3.9380029106140175
2021-01-29 18,2.56,26.06,63.86,3.950044527053837
2021-01-29 19,2.94,14.7,64.27,4.020257663726811
2021-01-29 20,2.39,14.09,63.88,4.11855590820313
2021-01-29 21,2.28,27.84,56.44,4.228932237625128
2021-01-29 22,2.27,25.18,76.36,4.3444014453888
2021-01-29 23,2.43,27.74,,4.430548686981208
2021-01-30 00,2.13,29.86,90.42,4.186113119125372
2021-01-30 01,2.03,31.59,85.93,2.7369971990585378
2021-01-30 02,1.91,30.7,90.55,1.9559968662262008
2021-01-30 03,1.74,32.01,89.42,1.8791251850128208
2021-01-30 04,1.61,34.11,87.11,1.668249974250796
2021-01-30 05,1.54,33.2,82.25,1.4882253265380878
2021-01-30 06,1.64,31.41,74.2,1.3239696025848398
2021-01-30 07,1.65,30.42,66.44,1.24056896686554
2021-01-30 08,1.93,28.12,61.65,1.2221971797943114
2021-01-30 09,2.48,19.51,81.99,1.3462340831756583
2021-01-30 10,2.21,18.82,72.79,1.636108193397521
2021-01-30 11,2.34,16.95,71.17,1.9499566936492907
2021-01-30 12,2.65,19.85,77.56,2.2836320877075185
2021-01-30 13,2.83,21.04,80.13,2.569286155700683
2021-01-30 14,2.82,21.25,83.48,2.714950828552245
2021-01-30 15,3.14,20.22,86.74,2.812776021957397
2021-01-30 16,3.42,17.36,96.68,2.928754825592041
2021-01-30 17,3.65,8.04,104.78,3.0501542663574224
2021-01-30 18,3.02,7.09,119.04,3.171298913955689
2021-01-30 19,3.05,6.97,114.07,3.2770185089111346
2021-01-30 20,3.2,6.01,106.5,3.3153264617919955
2021-01-30 21,3.66,6.01,107.54,3.3100150871276908
2021-01-30 22,3.12,5.27,107.48,3.249406328201301
2021-01-30 23,3.42,5.49,,3.134009566307076
2021-01-31 00,3.03,10.88,102.6,2.84524498939515
2021-01-31 01,2.11,8.79,93.94,1.8327409815788325
2021-01-31 02,2.13,9.92,81.76,1.1725842165946994
2021-01-31 03,2.16,8.99,88.72,1.112639420032503
2021-01-31 04,1.53,13.49,77.48,0.9361156535148633
2021-01-31 05,1.31,18.55,63.11,0.8756615447998055
2021-01-31 06,1.43,20.08,65.26,0.8437928175926211
2021-01-31 07,1.27,23.56,60.61,0.8496137928962708
2021-01-31 08,1.5,21.18,64.42,0.9194999933242798
2021-01-31 09,1.73,19.32,80.56,1.0848452711105347
2021-01-31 10,1.72,19.9,77.14,1.3340468597412112
2021-01-31 11,2.47,15.81,86.42,1.5940168190002446
2021-01-31 12,2.48,13.91,91.72,1.836979155540467
2021-01-31 13,2.56,13.0,101.68,2.0097286891937265
2021-01-31 14,2.72,8.17,106.03,2.059241538047792
2021-01-31 15,2.69,6.59,108.34,2.135420742034914
2021-01-31 16,1.46,8.07,71.16,2.2372297334671045
2021-01-31 17,1.98,9.61,57.92,2.3110259771347077
2021-01-31 18,2.37,3.31,67.93,2.3899884080886875
2021-01-31 19,1.65,3.79,54.96,2.467804703712468
2021-01-31 20,0.95,12.27,45.11,2.5360895490646413
2021-01-31 21,0.63,17.84,36.08,2.5856206178665224
2021-01-31 22,0.79,22.16,31.06,2.621545686721809
2021-01-31 23,0.58,21.13,,2.638025732040413
2021-02-01 00,0.72,20.69,36.49,2.2359564161300725
2021-02-01 01,0.73,18.86,38.19,1.2776763534545936
2021-02-01 02,0.78,16.71,38.82,0.9001178193092371
2021-02-01 03,0.62,16.97,40.37,1.3636963796615618
2021-02-01 04,0.64,20.73,39.72,1.2673990201950087
2021-02-01 05,0.72,17.86,41.33,1.2048076629638684
2021-02-01 06,1.51,10.71,44.5,2.3973189258575456
2021-02-01 07,1.27,4.3,48.08,2.1688174772262583
2021-02-01 08,1.2,17.85,42.03,2.017404727935792
2021-02-01 09,1.58,19.07,44.53,1.9745493984222424
2021-02-01 10,1.02,25.48,43.73,1.9752406358718888
2021-02-01 11,0.7,27.58,37.69,1.9280741786956803
2021-02-01 12,0.67,21.75,38.43,1.9025902080535908
2021-02-01 13,0.71,20.74,44.16,1.918288121223452
2021-02-01 14,0.94,25.45,42.79,2.002416253089907
2021-02-01 15,0.89,29.2,38.27,2.118013048172
2021-02-01 16,1.08,22.75,46.34,2.1402957630157498
2021-02-01 17,1.39,19.39,50.18,2.1539016962051423
2021-02-01 18,0.97,21.33,44.59,2.170618247985843
2021-02-01 19,0.95,17.77,36.93,2.197230205535892
2021-02-01 20,0.75,17.05,34.77,2.2296266603469888
2021-02-01 21,0.65,16.02,34.1,2.2572025489807173
2021-02-01 22,0.73,18.24,38.42,2.283177704811101
2021-02-01 23,0.6,17.93,,2.3056970930099534
2021-02-02 00,0.56,17.29,36.55,2.259439563751225
2021-02-02 01,0.66,17.39,44.02,1.4742364788055444
2021-02-02 02,0.38,15.1,38.41,1.0521127843856823
2021-02-02 03,0.43,14.15,39.09,0.9414179706573496
2021-02-02 04,0.44,10.66,40.57,0.8266215300560004
2021-02-02 05,0.37,15.84,38.34,0.7473954582214359
2021-02-02 06,0.51,13.17,35.54,0.8033839368820194
2021-02-02 07,0.47,10.85,37.98,0.7936341691017154
2021-02-02 08,0.71,12.32,33.78,0.8138067436218264
2021-02-02 09,1.01,17.19,36.51,0.9179257369041446
2021-02-02 10,0.71,19.34,39.89,1.1609154605865484
2021-02-02 11,0.75,20.71,33.51,1.4073884534835823
2021-02-02 12,0.69,23.8,31.21,1.6281956005096452
2021-02-02 13,0.23,23.05,27.83,1.826338157653811
2021-02-02 14,0.83,24.08,22.72,1.980242943763736
2021-02-02 15,0.92,27.17,26.61,2.0857987356185945
2021-02-02 16,1.8,22.77,41.69,2.1729464673996004
2021-02-02 17,1.23,20.2,41.21,2.2608946847915683
2021-02-02 18,1.39,13.77,56.64,2.3544637060165443
2021-02-02 19,2.02,14.5,57.8,2.4620209741592447
2021-02-02 20,1.49,11.88,55.34,2.580947413444524
2021-02-02 21,1.27,5.9,64.25,2.6996027898788504
2021-02-02 22,1.7,6.34,67.02,2.8086721897125297
2021-02-02 23,1.44,5.81,,2.8997685623169
2021-02-03 00,0.98,9.95,55.63,2.724045767784124
2021-02-03 01,1.03,9.39,50.91,1.6386916923522972
2021-02-03 02,1.05,0.71,54.71,1.1401176095008871
2021-02-03 03,0.62,7.59,45.38,1.2590500545501722
2021-02-03 04,0.72,13.18,39.94,1.1363799405097972
2021-02-03 05,0.56,15.67,35.63,1.0540935373306282
2021-02-03 06,0.88,12.33,33.71,1.509615654945374
2021-02-03 07,0.7,8.74,40.96,1.4038596057891848
2021-02-03 08,0.87,11.58,40.5,1.3670615005493163
2021-02-03 09,,16.11,35.82,1.4272155046463015
2021-02-03 10,1.59,16.99,27.01,1.60454875946045
2021-02-03 11,1.76,30.5,35.32,1.7709316587448134
2021-02-03 12,1.67,43.19,33.56,1.898733916282656
2021-02-03 13,1.35,44.97,31.47,1.9627986478805568
2021-02-03 14,1.12,41.22,26.26,1.902899379730228
2021-02-03 15,1.79,36.69,27.24,1.8076388502121004
2021-02-03 16,2.78,32.57,29.75,1.795324344635013
2021-02-03 17,2.59,27.62,33.02,1.821208558082584
2021-02-03 18,2.12,24.16,34.2,1.8876926660537747
2021-02-03 19,1.99,22.47,31.18,1.9683104467392
2021-02-03 20,1.44,21.5,29.56,2.046781907081607
2021-02-03 21,1.52,22.98,28.14,2.090346808433536
2021-02-03 22,0.76,23.66,28.33,2.083635087013248
2021-02-03 23,1.18,25.64,26.29,2.0790514326095613
2021-02-04 00,0.66,30.42,27.83,1.882328472137454
2021-02-04 01,0.76,31.6,27.94,1.1885847163200394
2021-02-04 02,0.94,33.96,32.85,0.902959008216859
2021-02-04 03,0.85,33.64,35.42,0.904547169208527
2021-02-04 04,1.33,33.59,37.96,0.8003938508033754
2021-02-04 05,1.08,34.02,38.32,0.7376054644584656
2021-02-04 06,1.48,30.22,34.54,0.923192257881164
2021-02-04 07,1.98,25.24,38.18,0.9109349966049188
2021-02-04 08,2.28,21.05,46.96,0.9213460445404048
2021-02-04 09,2.57,22.14,46.28,1.0080294370651242
2021-02-04 10,3.24,23.46,44.14,1.2376048851013184
2021-02-04 11,3.25,24.79,52.33,1.482643523216248
2021-02-04 12,1.85,33.47,44.18,1.711232476234437
2021-02-04 13,1.53,36.55,31.28,1.9209804391860976
2021-02-04 14,1.27,39.94,28.26,2.11252220630646
2021-02-04 15,1.68,39.43,30.77,2.2117846202850373
2021-02-04 16,1.53,37.14,33.75,2.1927238082885774
2021-02-04 17,2.33,30.75,38.95,2.219027571678165
2021-02-04 18,2.31,21.06,42.79,2.285385923385624
2021-02-04 19,1.83,23.18,43.16,2.356526722908024
2021-02-04 20,1.95,24.02,41.74,2.4099875307083174
2021-02-04 21,2.16,19.81,48.25,2.49050641059876
2021-02-04 22,2.73,15.48,54.12,2.59424646377564
2021-02-04 23,2.42,13.61,,2.689490270614629
2021-02-05 00,1.57,18.71,57.94,2.291021809577946
2021-02-05 01,1.19,21.35,48.01,1.2051780152320886
2021-02-05 02,1.65,25.09,42.02,0.8069180488586439
2021-02-05 03,1.2,25.17,42.19,0.99207679271698
2021-02-05 04,1.43,18.85,54.85,0.9223734879493714
2021-02-05 05,1.76,5.29,73.43,0.902841305732727
2021-02-05 06,1.73,0.14,72.24,1.3756474685668945
2021-02-05 07,1.12,14.71,48.73,1.3682824087142944
2021-02-05 08,1.27,27.22,42.08,1.4153066444396971
2021-02-05 09,1.22,29.27,34.31,1.5470870018005376
2021-02-05 10,1.43,33.36,37.01,1.790142421722413
2021-02-05 11,1.37,38.0,34.65,2.015098628997804
2021-02-05 12,1.08,44.03,29.31,2.211090717315676
2021-02-05 13,1.13,45.26,27.16,2.3586110782623315
2021-02-05 14,0.93,45.49,27.06,2.4930707359313997
